host,Datetime,CPU utilization (%),Memory used  (%)
TWKHH01OPTIPW6V,2021/7/22 14:14,76.6257,71.9444
TWKHH01OPTIPW6V,2021/7/22 14:11,76.3693,71.5412
TWKHH01OPTIPW6V,2021/7/22 14:08,75.821,70.6466
TWKHH01OPTIPW6V,2021/7/22 14:05,75.9716,71.0456
TWKHH01OPTIPW6V,2021/7/22 14:02,76.0308,70.9461
TWKHH01OPTIPW6V,2021/7/22 13:59,76.7647,73.0655
TWKHH01OPTIPW6V,2021/7/22 13:56,75.6096,71.1293
TWKHH01OPTIPW6V,2021/7/22 13:53,76.2822,70.9968
TWKHH01OPTIPW6V,2021/7/22 13:50,75.65,70.3621
TWKHH01OPTIPW6V,2021/7/22 13:47,75.2481,70.4068
TWKHH01OPTIPW6V,2021/7/22 13:44,76.7435,74.0986
TWKHH01OPTIPW6V,2021/7/22 13:41,85.5282,75.104
TWKHH01OPTIPW6V,2021/7/22 13:38,87.8564,72.5246
TWKHH01OPTIPW6V,2021/7/22 13:35,83.1616,81.0944
TWKHH01OPTIPW6V,2021/7/22 13:32,89.1632,78.6406
TWKHH01OPTIPW6V,2021/7/22 13:29,89.0531,72.7427
TWKHH01OPTIPW6V,2021/7/22 13:26,76.3732,72.8235
TWKHH01OPTIPW6V,2021/7/22 13:23,76.2276,72.7468
TWKHH01OPTIPW6V,2021/7/22 13:20,75.2543,76.2937
TWKHH01OPTIPW6V,2021/7/22 13:17,86.836,72.1005
TWKHH01OPTIPW6V,2021/7/22 13:14,76.6079,72.8162
TWKHH01OPTIPW6V,2021/7/22 13:11,76.0051,72.8005
TWKHH01OPTIPW6V,2021/7/22 13:08,75.9916,74.7424
TWKHH01OPTIPW6V,2021/7/22 13:05,75.8117,72.6066
TWKHH01OPTIPW6V,2021/7/22 13:02,84.7751,72.4295
TWKHH01OPTIPW6V,2021/7/22 12:59,76.6249,73.2513
TWKHH01OPTIPW6V,2021/7/22 12:56,76.9254,72.5641
TWKHH01OPTIPW6V,2021/7/22 12:53,76.3117,72.2753
TWKHH01OPTIPW6V,2021/7/22 12:50,84.1578,78.9392
TWKHH01OPTIPW6V,2021/7/22 12:47,93.2123,73.743
TWKHH01OPTIPW6V,2021/7/22 12:44,77.114,70.9758
TWKHH01OPTIPW6V,2021/7/22 12:41,78.0488,70.9146
TWKHH01OPTIPW6V,2021/7/22 12:38,76.1331,70.9787
TWKHH01OPTIPW6V,2021/7/22 12:35,75.5037,73.7524
TWKHH01OPTIPW6V,2021/7/22 12:32,75.3918,73.6597
TWKHH01OPTIPW6V,2021/7/22 12:29,76.0563,73.4287
TWKHH01OPTIPW6V,2021/7/22 12:26,75.6175,73.0983
TWKHH01OPTIPW6V,2021/7/22 12:23,76.1632,73.107
TWKHH01OPTIPW6V,2021/7/22 12:20,75.7591,73.6025
TWKHH01OPTIPW6V,2021/7/22 12:17,74.9269,73.4057
TWKHH01OPTIPW6V,2021/7/22 12:14,76.8172,72.6547
TWKHH01OPTIPW6V,2021/7/22 12:11,76.5297,72.5109
TWKHH01OPTIPW6V,2021/7/22 12:08,75.3153,71.9819
TWKHH01OPTIPW6V,2021/7/22 12:05,75.7739,71.4639
TWKHH01OPTIPW6V,2021/7/22 12:02,76.2446,71.8613
TWKHH01OPTIPW6V,2021/7/22 11:59,75.7779,71.7202
TWKHH01OPTIPW6V,2021/7/22 11:56,74.5422,70.8028
TWKHH01OPTIPW6V,2021/7/22 11:53,73.6407,70.664
TWKHH01OPTIPW6V,2021/7/22 11:50,76.2273,72.6305
TWKHH01OPTIPW6V,2021/7/22 11:47,74.4447,72.8097
TWKHH01OPTIPW6V,2021/7/22 11:44,76.4505,71.942
TWKHH01OPTIPW6V,2021/7/22 11:41,75.2032,70.6422
TWKHH01OPTIPW6V,2021/7/22 11:38,75.1543,70.6779
TWKHH01OPTIPW6V,2021/7/22 11:35,75.6783,71.1367
TWKHH01OPTIPW6V,2021/7/22 11:32,75.7905,70.9646
TWKHH01OPTIPW6V,2021/7/22 11:29,76.2517,71.7288
