host,Datetime,CPU utilization (%),Memory used  (%)
TWKHH01OPTIPW5V,2021/7/22 18:38,8.9991,19.9857
TWKHH01OPTIPW5V,2021/7/22 18:35,9.2812,14.061
TWKHH01OPTIPW5V,2021/7/22 18:32,4.0356,14.1255
TWKHH01OPTIPW5V,2021/7/22 18:29,4.6999,10.0839
TWKHH01OPTIPW5V,2021/7/22 18:26,2.9042,10.2918
TWKHH01OPTIPW5V,2021/7/22 18:23,0.8845,10.3362
TWKHH01OPTIPW5V,2021/7/22 18:20,3.3869,16.5475
TWKHH01OPTIPW5V,2021/7/22 18:17,5.2255,15.5445
TWKHH01OPTIPW5V,2021/7/22 18:14,9.629,15.7604
TWKHH01OPTIPW5V,2021/7/22 18:11,7.6343,20.7462
TWKHH01OPTIPW5V,2021/7/22 18:08,22.8051,15.5026
TWKHH01OPTIPW5V,2021/7/22 18:05,17.8198,19.4453
TWKHH01OPTIPW5V,2021/7/22 18:02,16.4414,16.8676
TWKHH01OPTIPW5V,2021/7/22 17:59,9.8371,11.0944
TWKHH01OPTIPW5V,2021/7/22 17:56,0.86,11.1179
TWKHH01OPTIPW5V,2021/7/22 17:53,3.012,11.138
TWKHH01OPTIPW5V,2021/7/22 17:50,1.3111,11.1637
TWKHH01OPTIPW5V,2021/7/22 17:47,0.8196,11.1275
TWKHH01OPTIPW5V,2021/7/22 17:44,5.8425,16.1992
TWKHH01OPTIPW5V,2021/7/22 17:41,9.2975,18.7188
TWKHH01OPTIPW5V,2021/7/22 17:38,9.0242,19.0864
TWKHH01OPTIPW5V,2021/7/22 17:35,13.77,10.9711
TWKHH01OPTIPW5V,2021/7/22 17:32,1.4476,10.8805
TWKHH01OPTIPW5V,2021/7/22 17:29,0.8042,13.736
TWKHH01OPTIPW5V,2021/7/22 17:26,9.1366,18.4827
TWKHH01OPTIPW5V,2021/7/22 17:23,9.0418,19.3866
TWKHH01OPTIPW5V,2021/7/22 17:20,14.9554,11.0189
TWKHH01OPTIPW5V,2021/7/22 17:17,0.9868,11.0037
TWKHH01OPTIPW5V,2021/7/22 17:14,0.8558,11.0686
TWKHH01OPTIPW5V,2021/7/22 17:11,9.1945,12.6315
TWKHH01OPTIPW5V,2021/7/22 17:08,8.9909,13.5431
TWKHH01OPTIPW5V,2021/7/22 17:05,9.1756,19.9777
TWKHH01OPTIPW5V,2021/7/22 17:02,35.3985,18.781
TWKHH01OPTIPW5V,2021/7/22 16:59,26.1865,11.1518
TWKHH01OPTIPW5V,2021/7/22 16:56,0.8016,11.0535
TWKHH01OPTIPW5V,2021/7/22 16:53,0.9688,11.0921
TWKHH01OPTIPW5V,2021/7/22 16:50,1.3011,11.0571
TWKHH01OPTIPW5V,2021/7/22 16:47,2.7245,12.8189
TWKHH01OPTIPW5V,2021/7/22 16:44,9.9008,21.6947
TWKHH01OPTIPW5V,2021/7/22 16:41,26.6868,10.9002
TWKHH01OPTIPW5V,2021/7/22 16:38,0.7645,10.8935
TWKHH01OPTIPW5V,2021/7/22 16:35,0.8511,16.5337
TWKHH01OPTIPW5V,2021/7/22 16:32,9.5495,19.2083
TWKHH01OPTIPW5V,2021/7/22 16:29,8.9801,19.6765
TWKHH01OPTIPW5V,2021/7/22 16:26,14.3369,11.0674
TWKHH01OPTIPW5V,2021/7/22 16:23,0.8754,11.0899
TWKHH01OPTIPW5V,2021/7/22 16:20,1.3708,11.0613
TWKHH01OPTIPW5V,2021/7/22 16:17,0.8332,20.5524
TWKHH01OPTIPW5V,2021/7/22 16:14,28.9762,19.8808
TWKHH01OPTIPW5V,2021/7/22 16:11,24.5107,11.7701
TWKHH01OPTIPW5V,2021/7/22 16:08,3.2918,11.7189
