,r value,p-value,N
Disk (0 C:) - Current Disk Queue Length & Memory used  (%).5,-0.0327,0.1289,2162
Disk (0 C:) - Current Disk Queue Length & CPU utilization (%).5,0.0279,0.1947,2162
Disk (0 C:) - Current Disk Queue Length & Disk (0 C:) - Current Disk Queue Length.5,0.4332,0.0000,2162
Disk (0 C:) - Current Disk Queue Length & Disk (1 D:) - Current Disk Queue Length.5,0.1886,0.0000,2162
Disk (0 C:) - Current Disk Queue Length & Label.5,0.2624,0.0000,2162
Disk (1 D:) - Current Disk Queue Length & Label,-0.0017,0.9369,2162
Disk (1 D:) - Current Disk Queue Length & Memory used  (%).1,-0.0087,0.6843,2162
Disk (1 D:) - Current Disk Queue Length & CPU utilization (%).1,-0.0103,0.6325,2162
Disk (1 D:) - Current Disk Queue Length & Disk (0 C:) - Current Disk Queue Length.1,-0.0020,0.9243,2162
Disk (1 D:) - Current Disk Queue Length & Disk (1 D:) - Current Disk Queue Length.1,nan,nan,2162
Disk (1 D:) - Current Disk Queue Length & Label.1,-0.0015,0.9453,2162
Disk (1 D:) - Current Disk Queue Length & Memory used  (%).2,0.0213,0.3212,2162
Disk (1 D:) - Current Disk Queue Length & CPU utilization (%).2,-0.0056,0.7932,2162
Disk (1 D:) - Current Disk Queue Length & Disk (0 C:) - Current Disk Queue Length.2,-0.0018,0.9347,2162
Disk (1 D:) - Current Disk Queue Length & Disk (1 D:) - Current Disk Queue Length.2,-0.0006,0.9777,2162
Disk (1 D:) - Current Disk Queue Length & Label.2,-0.0010,0.9614,2162
Disk (1 D:) - Current Disk Queue Length & Memory used  (%).3,-0.0122,0.5692,2162
Disk (1 D:) - Current Disk Queue Length & CPU utilization (%).3,-0.0079,0.7142,2162
Disk (1 D:) - Current Disk Queue Length & Disk (0 C:) - Current Disk Queue Length.3,-0.0021,0.9213,2162
Disk (1 D:) - Current Disk Queue Length & Disk (1 D:) - Current Disk Queue Length.3,nan,nan,2162
Disk (1 D:) - Current Disk Queue Length & Label.3,-0.0012,0.9554,2162
Disk (1 D:) - Current Disk Queue Length & Memory used  (%).4,0.0150,0.4846,2162
Disk (1 D:) - Current Disk Queue Length & CPU utilization (%).4,0.0645,0.0027,2162
Disk (1 D:) - Current Disk Queue Length & Disk (0 C:) - Current Disk Queue Length.4,0.0076,0.7231,2162
Disk (1 D:) - Current Disk Queue Length & Disk (1 D:) - Current Disk Queue Length.4,-0.0012,0.9562,2162
Disk (1 D:) - Current Disk Queue Length & Label.4,-0.0010,0.9614,2162
Disk (1 D:) - Current Disk Queue Length & Memory used  (%).5,0.0277,0.1986,2162
Disk (1 D:) - Current Disk Queue Length & CPU utilization (%).5,-0.0107,0.6199,2162
Disk (1 D:) - Current Disk Queue Length & Disk (0 C:) - Current Disk Queue Length.5,0.0233,0.2786,2162
Disk (1 D:) - Current Disk Queue Length & Disk (1 D:) - Current Disk Queue Length.5,0.1705,0.0000,2162
Disk (1 D:) - Current Disk Queue Length & Label.5,-0.0017,0.9369,2162
Label & Memory used  (%).1,-0.0157,0.4645,2162
Label & CPU utilization (%).1,0.0936,0.0000,2162
Label & Disk (0 C:) - Current Disk Queue Length.1,0.3368,0.0000,2162
Label & Disk (1 D:) - Current Disk Queue Length.1,nan,nan,2162
Label & Label.1,0.2864,0.0000,2162
Label & Memory used  (%).2,-0.1090,0.0000,2162
