,r value,p-value,N
Disk (1 D:) - Current Disk Queue Length & Label,-0.0224,0.7725,169.0
Disk (1 D:) - Current Disk Queue Length & Memory used  (%).1,0.0304,0.6946,169.0
Disk (1 D:) - Current Disk Queue Length & CPU utilization (%).1,-0.0191,0.8051,169.0
Disk (1 D:) - Current Disk Queue Length & Disk (0 C:) - Current Disk Queue Length.1,-0.0272,0.7259,169.0
Disk (1 D:) - Current Disk Queue Length & Label.1,-0.0193,0.8035,169.0
Disk (1 D:) - Current Disk Queue Length & Memory used  (%).2,0.1097,0.1556,169.0
Disk (1 D:) - Current Disk Queue Length & CPU utilization (%).2,0.0088,0.9092,169.0
Disk (1 D:) - Current Disk Queue Length & Disk (0 C:) - Current Disk Queue Length.2,-0.0232,0.7646,169.0
Disk (1 D:) - Current Disk Queue Length & Disk (1 D:) - Current Disk Queue Length.2,-0.0078,0.9203,169.0
Disk (1 D:) - Current Disk Queue Length & Label.2,-0.0135,0.8616,169.0
Disk (1 D:) - Current Disk Queue Length & Memory used  (%).3,0.0873,0.2592,169.0
Disk (1 D:) - Current Disk Queue Length & CPU utilization (%).3,-0.0217,0.7793,169.0
Disk (1 D:) - Current Disk Queue Length & Disk (0 C:) - Current Disk Queue Length.3,-0.0283,0.7147,169.0
Disk (1 D:) - Current Disk Queue Length & Label.3,-0.0156,0.84,169.0
Disk (1 D:) - Current Disk Queue Length & Memory used  (%).4,0.1809,0.0186,169.0
Disk (1 D:) - Current Disk Queue Length & CPU utilization (%).4,0.2121,0.0056,169.0
Disk (1 D:) - Current Disk Queue Length & Disk (0 C:) - Current Disk Queue Length.4,-0.0155,0.8412,169.0
Disk (1 D:) - Current Disk Queue Length & Disk (1 D:) - Current Disk Queue Length.4,-0.0154,0.8429,169.0
Disk (1 D:) - Current Disk Queue Length & Label.4,-0.0135,0.8616,169.0
Disk (1 D:) - Current Disk Queue Length & Memory used  (%).5,0.1021,0.1867,169.0
Disk (1 D:) - Current Disk Queue Length & CPU utilization (%).5,-0.049,0.5271,169.0
Disk (1 D:) - Current Disk Queue Length & Disk (0 C:) - Current Disk Queue Length.5,-0.0008,0.9917,169.0
Disk (1 D:) - Current Disk Queue Length & Disk (1 D:) - Current Disk Queue Length.5,0.1488,0.0534,169.0
Disk (1 D:) - Current Disk Queue Length & Label.5,-0.0224,0.7725,169.0
Label & Memory used  (%).1,0.0838,0.2785,169.0
Label & CPU utilization (%).1,0.2698,0.0004,169.0
Label & Disk (0 C:) - Current Disk Queue Length.1,0.3003,0.0001,169.0
Label & Label.1,0.2584,0.0007,169.0
Label & Memory used  (%).2,-0.1131,0.1433,169.0
Label & CPU utilization (%).2,0.1414,0.0667,169.0
Label & Disk (0 C:) - Current Disk Queue Length.2,0.4215,0.0,169.0
Label & Disk (1 D:) - Current Disk Queue Length.2,-0.0172,0.8244,169.0
Label & Label.2,0.3921,0.0,169.0
Label & Memory used  (%).3,0.0732,0.3441,169.0
Label & CPU utilization (%).3,0.3266,0.0,169.0
Label & Disk (0 C:) - Current Disk Queue Length.3,0.413,0.0,169.0
Label & Label.3,0.3319,0.0,169.0
Label & Memory used  (%).4,0.0022,0.9774,169.0
Label & CPU utilization (%).4,0.0885,0.2524,169.0
