,r value,p-value,N
Disk (0 C:) - Current Disk Queue Length & Memory used  (%).5,-0.0272,0.2066,2162
Disk (0 C:) - Current Disk Queue Length & CPU utilization (%).5,0.0196,0.3633,2162
Disk (0 C:) - Current Disk Queue Length & Disk (0 C:) - Current Disk Queue Length.5,0.3746,0.0000,2162
Disk (0 C:) - Current Disk Queue Length & Disk (1 D:) - Current Disk Queue Length.5,0.2233,0.0000,2162
Disk (0 C:) - Current Disk Queue Length & Label.5,0.2267,0.0000,2162
Disk (1 D:) - Current Disk Queue Length & Label,-0.0019,0.9313,2162
Disk (1 D:) - Current Disk Queue Length & Memory used  (%).1,-0.0047,0.8287,2162
Disk (1 D:) - Current Disk Queue Length & CPU utilization (%).1,-0.0318,0.1392,2162
Disk (1 D:) - Current Disk Queue Length & Disk (0 C:) - Current Disk Queue Length.1,-0.0034,0.8737,2162
Disk (1 D:) - Current Disk Queue Length & Disk (1 D:) - Current Disk Queue Length.1,nan,nan,2162
Disk (1 D:) - Current Disk Queue Length & Label.1,-0.0016,0.9405,2162
Disk (1 D:) - Current Disk Queue Length & Memory used  (%).2,0.0309,0.1511,2162
Disk (1 D:) - Current Disk Queue Length & CPU utilization (%).2,-0.0043,0.8428,2162
Disk (1 D:) - Current Disk Queue Length & Disk (0 C:) - Current Disk Queue Length.2,-0.0035,0.8690,2162
Disk (1 D:) - Current Disk Queue Length & Disk (1 D:) - Current Disk Queue Length.2,-0.0007,0.9757,2162
Disk (1 D:) - Current Disk Queue Length & Label.2,-0.0011,0.9580,2162
Disk (1 D:) - Current Disk Queue Length & Memory used  (%).3,0.0180,0.4018,2162
Disk (1 D:) - Current Disk Queue Length & CPU utilization (%).3,-0.0194,0.3683,2162
Disk (1 D:) - Current Disk Queue Length & Disk (0 C:) - Current Disk Queue Length.3,-0.0040,0.8520,2162
Disk (1 D:) - Current Disk Queue Length & Disk (1 D:) - Current Disk Queue Length.3,nan,nan,2162
Disk (1 D:) - Current Disk Queue Length & Label.3,-0.0013,0.9515,2162
Disk (1 D:) - Current Disk Queue Length & Memory used  (%).4,0.0173,0.4217,2162
Disk (1 D:) - Current Disk Queue Length & CPU utilization (%).4,0.0224,0.2980,2162
Disk (1 D:) - Current Disk Queue Length & Disk (0 C:) - Current Disk Queue Length.4,0.1071,0.0000,2162
